Name,Type,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Conv_173,Conv,198144,0.01%,6660,0.01%,129,0.01%,1x128x32x48,1x1x32x48
Conv_146,Conv,56672256,3.29%,786944,0.91%,147584,6.45%,1x128x16x24,1x128x16x24
LeakyRelu_147,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_149,Conv,25264128,1.47%,656384,0.76%,65792,2.88%,1x256x16x24,1x256x16x24
LeakyRelu_150,LeakyRelu,196608,0.01%,393216,0.45%,0,0.00%,1x256x16x24,1x256x16x24
Conv_153,Conv,12632064,0.73%,328192,0.38%,32896,1.44%,1x256x16x24,1x128x16x24
LeakyRelu_154,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_174,Conv,491520,0.03%,201728,0.23%,1280,0.06%,1x128x16x24,1x128x16x24
Conv_182,Conv,491520,0.03%,201728,0.23%,1280,0.06%,1x128x16x24,1x128x16x24
LeakyRelu_175,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_183,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_176,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
Conv_184,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
LeakyRelu_177,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_185,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_178,Conv,491520,0.03%,201728,0.23%,1280,0.06%,1x128x16x24,1x128x16x24
Conv_186,Conv,491520,0.03%,201728,0.23%,1280,0.06%,1x128x16x24,1x128x16x24
LeakyRelu_179,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_187,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_180,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
Conv_188,Conv,6340608,0.37%,262656,0.30%,16512,0.72%,1x128x16x24,1x128x16x24
LeakyRelu_181,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
LeakyRelu_189,LeakyRelu,98304,0.01%,196608,0.23%,0,0.00%,1x128x16x24,1x128x16x24
Conv_190,Conv,49536,0.00%,2052,0.00%,129,0.01%,1x128x16x24,1x1x16x24
Conv_191,Conv,198144,0.01%,8208,0.01%,516,0.02%,1x128x16x24,1x4x16x24
Conv_192,Conv,49536,0.00%,2052,0.00%,129,0.01%,1x128x16x24,1x1x16x24
Total,_,1720921344,100%,86458560,100%,2286384,100%,_,_
