Name           Type       MACs           CPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
Conv_122       Conv       6,389,760      0.37%       409,856     0.47%       4,160      0.18%       1x64x32x48    1x64x32x48
LeakyRelu_123  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_124       Conv       56,721,408     3.30%       540,928     0.63%       36,928     1.62%       1x64x32x48    1x64x32x48
LeakyRelu_125  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_126       Conv       6,389,760      0.37%       409,856     0.47%       4,160      0.18%       1x64x32x48    1x64x32x48
LeakyRelu_127  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_128       Conv       56,721,408     3.30%       540,928     0.63%       36,928     1.62%       1x64x32x48    1x64x32x48
LeakyRelu_129  LeakyRelu  196,608        0.01%       393,216     0.45%       0          0.00%       1x64x32x48    1x64x32x48
Conv_131       Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
LeakyRelu_132  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
Conv_133       Conv       56,672,256     3.29%       786,944     0.91%       147,584    6.45%       1x128x32x48   1x128x16x24
Conv_151       Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
LeakyRelu_134  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
LeakyRelu_152  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
Conv_155       Conv       1,966,080      0.11%       791,552     0.92%       1,280      0.06%       1x128x32x48   1x128x32x48
Conv_163       Conv       1,966,080      0.11%       791,552     0.92%       1,280      0.06%       1x128x32x48   1x128x32x48
Conv_136       Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
Conv_138       Conv       12,632,064     0.73%       328,192     0.38%       32,896     1.44%       1x256x16x24   1x128x16x24
LeakyRelu_156  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_164  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_137  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
